商品名,价格,图片
[12期免息]柔宇科技Royole FlexPai柔派/可折叠柔性屏手机高通骁龙855旗舰折叠手机 深海蓝  6GB+128GB,8999.00,[]
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,5999.00,https://img11.360buyimg.com/n1/jfs/t1/59022/28/10293/141808/5d78088fEf6e7862d/68836f52ffaaad96.jpg
荣耀V20 游戏手机 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻夜黑 移动联通电信4G,1899.00,https://img11.360buyimg.com/n1/jfs/t1/88529/15/4307/279476/5de6564dE8243cca7/f4130deb2a05d1cf.jpg
荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏手机,899.00,https://img11.360buyimg.com/n1/jfs/t1/22718/1/12601/168068/5caedd41E05e879b0/865565d919219154.jpg
小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 白色恋人 6GB+64GB 游戏智能拍照手机,999.00,https://img11.360buyimg.com/n1/jfs/t1/86011/20/4711/316857/5de8cbc1E21853dc0/69d91ed1677a767c.jpg
京品手机荣耀20 李现同款 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻影蓝 全面屏手机,2099.00,https://img11.360buyimg.com/n1/jfs/t1/106523/18/4870/280822/5de8fc85E07ca3577/d57fd550720cccda.jpg
华为 HUAWEI 畅享 10S 炫彩OLED屏幕指纹4800万超广角AI三摄4000mAh大电池6GB+128GB天空之境全网通双4G手机,1799.00,https://img11.360buyimg.com/n1/jfs/t1/106523/18/4870/280822/5de8fc85E07ca3577/d57fd550720cccda.jpg
荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,1299.00,https://img11.360buyimg.com/n1/jfs/t1/88288/25/4272/403203/5de6553cE8653bc6a/1bdec9db1e08e9dc.jpg
【新品抢购】Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人手机 小米 红米,749.00,https://img11.360buyimg.com/n1/jfs/t1/54085/1/13732/194509/5da6d50fE32d0191a/68d0ac29ce4a326d.jpg
华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB丹霞橙5G全网通手机,6899.00,https://img11.360buyimg.com/n1/jfs/t1/90139/34/1379/180822/5dbe8875E02dc2e95/c78c80a4116ee57d.jpg
荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白,1599.00,https://img11.360buyimg.com/n1/jfs/t1/99392/36/4816/229887/5de8ff03E76fa3ffa/6e4ebd831419b4d2.jpg
华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通手机,4999.00,https://img11.360buyimg.com/n1/jfs/t1/85230/12/4779/148135/5de8e622E5b87931d/d992d95200bcb657.jpg
华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄8GB+128GB星河银4G全网通手机,5799.00,https://img11.360buyimg.com/n1/jfs/t1/85230/12/4779/148135/5de8e622E5b87931d/d992d95200bcb657.jpg
京品手机Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,4859.00,https://img11.360buyimg.com/n1/jfs/t1/3405/18/3537/69901/5b997c0aE5dc8ed9f/a2c208410ae84d1f.jpg
